Date,Vendor,Amount,Select,Option
4/3,ABC,20,Revenue,debt
4/4,BCD,10,Revenue,
4/5,LKW,440,Expense,prepay
4/6,LKW,5000,Revenue,
4/7,ABC,"20,000",Revenue,equitity
4/8,ABC,12,Revenue,
4/9,BCD,314,Expense,prepay
4/10,RES,435,Revenue,
4/11,LKW,23,Expense,
4/12,ABC,34,Revenue,
4/13,ABC,67,Expense,
4/14,BCD,68,Revenue,equitity
4/15,LKW,79,Revenue,
4/16,RES,231,Expense,asset
4/17,ABC,50,Revenue,
4/18,ABC,345,Revenue,
4/19,BCD,663,Revenue,
4/20,LKW,453,Expense,
4/21,RES,248,Expense,debt
4/22,ABC,12,Revenue,
4/23,ABC,512,Expense,asset
4/24,BCD,56,Revenue,
4/25,LKW,224,Revenue,debt
4/26,RES,344,Revenue,
4/27,RES,34,Expense,
4/27,ABC,341,Revenue,
4/28,ABC,126,Expense,
4/29,ABC,566,Expense,
